status,id,paid,title,subTitle,desc,text,tileUrl,tileUrlExpanded,src_type,src_play,progressBar,extraMeta,reviews,meta,extraReviews,trailer,series,player
1,92,,Shark Tank' tập 10: MC Kỳ Duyên thành công với thương vụ nửa triệu đô,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/lce_qdhuc/2018_01_13/kyduyen.jpg,,zingnews,811510,,,KINH DOANH,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 14/01/2018</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,91,,Toàn cảnh dự án nhiệt điện Thái Bình 2,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/nokarz/2018_01_10/DJI_0272.JPG,,zingnews,810689,,,KINH DOANH,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 14/01/2018</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,90,,Tỷ phú Thái Charoen đã mua những tài sản gì tại Việt Nam?,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/ovhunut/2018_01_09/ty_phu_Thai_Lan.jpg,,zingnews,810409,,,KINH DOANH,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 14/01/2018</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,89,,Hoa kiểng Trung Quốc lăm le tràn về làng hoa Sa Đéc,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/Jac_Huo/2018_01_09/HoaTQtaiSadec_zing2.jpg,,zingnews,810353,,,KINH DOANH,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 14/01/2018</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,88,,Cận cảnh dàn xe BMW hơn 3 triệu USD phủ bụi ở Sài Gòn,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/Jac_Huo/2018_01_06/XeBMW_zing1.jpg,,zingnews,809794,,,KINH DOANH,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 14/01/2018</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,87,,Shark Tank' tập 9: Ứng dụng âm nhạc được đầu tư 260.000 USD,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/lce_qdhuc/2018_01_06/tvbt.jpg,,zingnews,809720,,,KINH DOANH,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 14/01/2018</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,86,,"Xăng A95 đắt hơn E5 2.000 đồng, người dân đổ loại nào?",,,,https://znews-photo-td.zadn.vn/w660/Uploaded/qnuozb/2018_01_05/xeng_e5.jpg,,zingnews,809486,,,KINH DOANH,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 14/01/2018</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,85,,Chiêm ngưỡng cây cam Xã Đoài nghìn quả độc nhất ở Nghệ An,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/mtfuc/2018_01_04/CAM_4.jpg,,zingnews,809208,,,KINH DOANH,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 14/01/2018</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,84,,"Cây xăng bố trí trụ A95 nhiều gấp 2, gấp 5 lần E5",,,,https://znews-photo-td.zadn.vn/w660/Uploaded/qnuozb/2018_01_03/tro.jpg,,zingnews,808895,,,KINH DOANH,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 14/01/2018</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,83,,Giải độc đắc 192 tỷ mãi chưa tìm ra người trúng và đây là lý do,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/ovhunut/2018_01_02/26513835_1991803354374350_1450695051_o.jpg,,zingnews,808518,,,KINH DOANH,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 14/01/2018</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
